framenumber,x,y,z,h,p,r,ptidx,navinfoId,px,py,pz,imagex,imagey
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,0,1638662,116.22549587,40.08148139,40.2,1086,59
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,1,1638662,116.22549614,40.08148057,39.38,1087,106
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,2,1638662,116.22547498,40.08147352,39.42,972,103
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,3,1638662,116.22547471,40.08147433,40.24,972,56
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,4,1638666,116.22525824,40.08188585,41.62,781,218
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,5,1638666,116.22525878,40.08188639,39.15,782,267
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,6,1638666,116.22521402,40.08187147,39.07,699,269
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,7,1638666,116.22521348,40.08187093,41.55,698,219
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,8,1638786,116.2245638,40.08272054,41.5,556,293
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,9,1638786,116.2245638,40.08272081,39.02,557,314
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,10,1638786,116.22451985,40.08270616,38.98,523,314
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,11,1638786,116.22451958,40.08270562,41.45,523,294
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,12,1638791,116.2249254,40.0820505,41.64,469,252
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,13,1638791,116.2249254,40.08204969,39.15,469,288
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,14,1638791,116.22488037,40.08203694,39.18,409,288
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,15,1638791,116.22488037,40.08203776,41.68,410,251
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,16,1639090,116.22535997,40.08141303,36.66,253,257
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,17,1639090,116.22536566,40.08141981,36.68,308,258
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,18,1639090,116.22536295,40.08141628,37.12,280,229
0,116.21944108,40.08001442,35.813,336.66942131,2.682320821,-1.656322369,19,1639090,116.22535997,40.08141303,36.66,253,257
10,116.21943962,40.08001703,35.8087,336.116901116,2.671814883,-1.666361255,0,1638662,116.22549587,40.08148139,40.2,1107,54
10,116.21943962,40.08001703,35.8087,336.116901116,2.671814883,-1.666361255,1,1638662,116.22549614,40.08148057,39.38,1107,102
10,116.21943962,40.08001703,35.8087,336.116901116,2.671814883,-1.666361255,2,1638662,116.22547498,40.08147352,39.42,990,99
10,116.21943962,40.08001703,35.8087,336.116901116,2.671814883,-1.666361255,3,1638662,116.22547471,40.08147433,40.24,990,51
10,116.21943962,40.08001703,35.8087,336.116901116,2.671814883,-1.666361255,4,1638666,116.22525824,40.08188585,41.62,796,217
10,116.21943962,40.08001703,35.8087,336.116901116,2.671814883,-1.666361255,5,1638666,116.22525878,40.08188639,39.15,797,267
